Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
235.645604	392236.604531	112102.241449	37.482554	4.321350	28.223130	3.329819	43886379.626836	2599568.089180	219806.062949	143542.018203	18625114.048308	1998652.774261	26225600.331451	1331520.666029	
236.648352	392236.353468	112102.203040	34.916055	4.038026	26.396636	3.137771	43886384.246586	2599568.540926	219806.087254	143542.080237	18625114.048308	1998652.774261	26225600.620922	1331520.955844	
237.651099	392236.119803	112102.167274	32.531624	3.773704	24.690222	2.956858	43886388.548511	2599568.964067	219806.109839	143542.138098	18625114.048308	1998652.774261	26225600.890354	1331521.225580	
238.653846	392235.902307	112102.133963	30.316092	3.527089	23.095909	2.786430	43886392.554866	2599569.360447	219806.130827	143542.192071	18625114.048308	1998652.774261	26225601.141161	1331521.476657	
239.656593	392235.699778	112102.102929	28.256549	3.296922	21.605957	2.625858	43886396.287376	2599569.731856	219806.150340	143542.242435	18625114.048308	1998652.774261	26225601.374724	1331521.710458	
240.659341	392235.511045	112102.073994	26.340349	3.081979	20.212866	2.474538	43886399.767243	2599570.080032	219806.168497	143542.289458	18625114.048308	1998652.774261	26225601.592392	1331521.928338	
241.662088	392235.334961	112102.046986	24.555105	2.881069	18.909378	2.331886	43886403.015140	2599570.406656	219806.185416	143542.333403	18625114.048308	1998652.774261	26225601.795484	1331522.131618	
242.664835	392235.170409	112102.021736	22.888691	2.693036	17.688474	2.197343	43886406.051215	2599570.713357	219806.201211	143542.374527	18625114.048308	1998652.774261	26225601.985286	1331522.321587	
243.667582	392235.016300	112101.998081	21.329243	2.516761	16.543377	2.070373	43886408.895088	2599571.001709	219806.215992	143542.413076	18625114.048308	1998652.774261	26225602.163050	1331522.499503	
244.670330	392234.871865	112101.975905	19.868688	2.351409	15.468832	1.950518	43886411.560778	2599571.272934	219806.229837	143542.449234	18625114.048308	1998652.774261	26225602.329662	1331522.666251	
245.673077	392234.736884	112101.955171	18.505357	2.196643	14.462259	1.837466	43886414.052738	2599571.527647	219806.242762	143542.483073	18625114.048308	1998652.774261	26225602.485377	1331522.822087	
246.675824	392234.610858	112101.935804	17.234117	2.051904	13.520067	1.730879	43886416.380143	2599571.766698	219806.254815	143542.514715	18625114.048308	1998652.774261	26225602.630769	1331522.967585	
247.678571	392234.493291	112101.917729	16.049832	1.916641	12.638715	1.630423	43886418.552117	2599571.990927	219806.266045	143542.544280	18625114.048308	1998652.774261	26225602.766411	1331523.103321	
248.681319	392234.383696	112101.900871	14.947458	1.790312	11.814756	1.535779	43886420.577589	2599572.201149	219806.276500	143542.571889	18625114.048308	1998652.774261	26225602.892865	1331523.229854	
